Year,Total,Couple type
2014,334829,same-sex
2013,251695,same-sex
2012,181922,same-sex
2011,168092,same-sex
2010,152335,same-sex
2009,152121,same-sex
2008,142486,same-sex
2007,340848,same-sex
2006,385752,same-sex
2005,392314,same-sex
2014,163239,Male-Male
2013,117535,Male-Male
2012,80727,Male-Male
2011,69522,Male-Male
2010,68513,Male-Male
2009,66274,Male-Male
2008,62185,Male-Male
2007,190004,Male-Male
2006,217617,Male-Male
2005,214477,Male-Male
2014,171590,Female-Female
2013,134160,Female-Female
2012,101195,Female-Female
2011,98570,Female-Female
2010,83822,Female-Female
2009,85847,Female-Female
2008,80301,Female-Female
2007,150844,Female-Female
2006,168135,Female-Female
2005,177937,Female-Female
