Year,Total,Couple type
2014,783100,same-sex
2013,726600,same-sex
2012,639440,same-sex
2011,605472,same-sex
2010,593324,same-sex
2009,581300,same-sex
2008,539230,same-sex
2007,753618,same-sex
2006,779867,same-sex
2005,776943,same-sex
2014,377903,Male-Male
2013,352624,Male-Male
2012,305794,Male-Male
2011,284295,Male-Male
2010,287687,Male-Male
2009,280410,Male-Male
2008,281283,Male-Male
2007,395572,Male-Male
2006,417044,Male-Male
2005,413095,Male-Male
2014,405197,Female-Female
2013,373976,Female-Female
2012,333646,Female-Female
2011,321177,Female-Female
2010,305637,Female-Female
2009,300890,Female-Female
2008,257947,Female-Female
2007,358046,Female-Female
2006,362823,Female-Female
2005,363848,Female-Female
